provinsi,tahun,upah,daerah,jenis,peng,cluster_kmeans
ACEH,2018,13814,PERKOTAAN,MAKANAN,637432.0,7
ACEH,2018,13814,PERKOTAAN,NONMAKANAN,633864.0,7
ACEH,2018,13814,PERKOTAAN,TOTAL,1271297.0,0
ACEH,2018,13814,PERDESAANPERKOTAAN,MAKANAN,547668.0,7
ACEH,2018,13814,PERDESAANPERKOTAAN,NONMAKANAN,426149.0,1
ACEH,2018,13814,PERDESAANPERKOTAAN,TOTAL,973817.0,9
ACEH,2019,15065,PERDESAAN,MAKANAN,520759.0,7
ACEH,2019,15065,PERDESAAN,NONMAKANAN,334915.0,7
ACEH,2019,15065,PERDESAAN,TOTAL,855674.0,9
ACEH,2019,15065,PERKOTAAN,MAKANAN,639421.0,7
ACEH,2019,15065,PERKOTAAN,NONMAKANAN,640399.0,7
ACEH,2019,15065,PERKOTAAN,TOTAL,1279820.0,0
ACEH,2019,15065,PERDESAANPERKOTAAN,MAKANAN,559299.0,7
ACEH,2019,15065,PERDESAANPERKOTAAN,NONMAKANAN,434133.0,7
ACEH,2019,15065,PERDESAANPERKOTAAN,TOTAL,993433.0,0
ACEH,2020,18099,PERDESAAN,MAKANAN,566947.0,4
ACEH,2020,18099,PERDESAAN,NONMAKANAN,378673.0,7
ACEH,2020,18099,PERDESAAN,TOTAL,945621.0,4
ACEH,2020,18099,PERKOTAAN,MAKANAN,655222.0,4
ACEH,2020,18099,PERKOTAAN,NONMAKANAN,704431.0,4
ACEH,2020,18099,PERKOTAAN,TOTAL,1359653.0,5
ACEH,2020,18099,PERDESAANPERKOTAAN,MAKANAN,595634.0,4
ACEH,2020,18099,PERDESAANPERKOTAAN,NONMAKANAN,484536.0,7
ACEH,2020,18099,PERDESAANPERKOTAAN,TOTAL,1080171.0,0
ACEH,2021,17037,PERDESAAN,MAKANAN,597940.0,4
ACEH,2021,17037,PERDESAAN,NONMAKANAN,378673.0,7
ACEH,2021,17037,PERDESAAN,TOTAL,976613.0,0
ACEH,2021,17037,PERKOTAAN,MAKANAN,734401.0,4
ACEH,2021,17037,PERKOTAAN,NONMAKANAN,724090.0,4
ACEH,2021,17037,PERKOTAAN,TOTAL,1458492.0,5
ACEH,2021,17037,PERDESAANPERKOTAAN,MAKANAN,643591.0,4
ACEH,2021,17037,PERDESAANPERKOTAAN,NONMAKANAN,494227.0,7
ACEH,2021,17037,PERDESAANPERKOTAAN,TOTAL,1137819.0,0
ACEH,2022,16772,PERDESAAN,MAKANAN,633566.0,4
ACEH,2022,16772,PERDESAAN,NONMAKANAN,406040.0,7
ACEH,2022,16772,PERDESAAN,TOTAL,1039606.0,0
ACEH,2022,16772,PERKOTAAN,MAKANAN,736172.0,4
ACEH,2022,16772,PERKOTAAN,NONMAKANAN,716409.0,4
ACEH,2022,16772,PERKOTAAN,TOTAL,1452581.0,5
ACEH,2022,16772,PERDESAANPERKOTAAN,MAKANAN,668480.0,4
ACEH,2022,16772,PERDESAANPERKOTAAN,NONMAKANAN,511651.0,7
ACEH,2022,16772,PERDESAANPERKOTAAN,TOTAL,1180132.0,0
SUMATERA UTARA,2015,10618,PERDESAAN,MAKANAN,413087.0,1
SUMATERA UTARA,2015,10618,PERDESAAN,NONMAKANAN,269407.0,1
SUMATERA UTARA,2015,10618,PERDESAAN,TOTAL,682494.0,9
SUMATERA UTARA,2015,10618,PERKOTAAN,MAKANAN,416073.0,1
SUMATERA UTARA,2015,10618,PERKOTAAN,NONMAKANAN,453609.0,1
SUMATERA UTARA,2015,10618,PERKOTAAN,TOTAL,869682.0,9
SUMATERA UTARA,2015,10618,PERDESAANPERKOTAAN,MAKANAN,414566.0,1
SUMATERA UTARA,2015,10618,PERDESAANPERKOTAAN,NONMAKANAN,360624.0,1
SUMATERA UTARA,2015,10618,PERDESAANPERKOTAAN,TOTAL,775189.0,9
SUMATERA UTARA,2016,11646,PERDESAAN,MAKANAN,450979.0,1
SUMATERA UTARA,2016,11646,PERDESAAN,NONMAKANAN,287255.0,1
SUMATERA UTARA,2016,11646,PERDESAAN,TOTAL,738234.0,9
SUMATERA UTARA,2016,11646,PERKOTAAN,MAKANAN,493141.0,1
SUMATERA UTARA,2016,11646,PERKOTAAN,NONMAKANAN,474404.0,1
SUMATERA UTARA,2016,11646,PERKOTAAN,TOTAL,967546.0,9
SUMATERA UTARA,2016,11646,PERDESAANPERKOTAAN,MAKANAN,472220.0,1
SUMATERA UTARA,2016,11646,PERDESAANPERKOTAAN,NONMAKANAN,381537.0,1
SUMATERA UTARA,2016,11646,PERDESAANPERKOTAAN,TOTAL,853756.0,9
SUMATERA UTARA,2017,13396,PERDESAAN,MAKANAN,490603.0,1
SUMATERA UTARA,2017,13396,PERDESAAN,NONMAKANAN,278114.0,1
SUMATERA UTARA,2017,13396,PERDESAAN,TOTAL,768718.0,9
SUMATERA UTARA,2017,13396,PERKOTAAN,MAKANAN,553690.0,1
SUMATERA UTARA,2017,13396,PERKOTAAN,NONMAKANAN,491793.0,1
SUMATERA UTARA,2017,13396,PERKOTAAN,TOTAL,1045483.0,0
SUMATERA UTARA,2017,13396,PERDESAANPERKOTAAN,MAKANAN,522766.0,1
SUMATERA UTARA,2017,13396,PERDESAANPERKOTAAN,NONMAKANAN,387051.0,1
SUMATERA UTARA,2017,13396,PERDESAANPERKOTAAN,TOTAL,909817.0,9
SUMATERA UTARA,2018,13257,PERDESAAN,MAKANAN,519512.0,1
SUMATERA UTARA,2018,13257,PERDESAAN,NONMAKANAN,337487.0,1
SUMATERA UTARA,2018,13257,PERDESAAN,TOTAL,857000.0,9
SUMATERA UTARA,2018,13257,PERKOTAAN,MAKANAN,586199.0,1
SUMATERA UTARA,2018,13257,PERKOTAAN,NONMAKANAN,544628.0,1
SUMATERA UTARA,2018,13257,PERKOTAAN,TOTAL,1130828.0,0
SUMATERA UTARA,2018,13257,PERDESAANPERKOTAAN,MAKANAN,554754.0,1
SUMATERA UTARA,2018,13257,PERDESAANPERKOTAAN,NONMAKANAN,446955.0,1
SUMATERA UTARA,2018,13257,PERDESAANPERKOTAAN,TOTAL,1001709.0,9
SUMATERA UTARA,2019,14061,PERDESAAN,MAKANAN,533737.0,7
SUMATERA UTARA,2019,14061,PERDESAAN,NONMAKANAN,369051.0,1
SUMATERA UTARA,2019,14061,PERDESAAN,TOTAL,902788.0,9
SUMATERA UTARA,2019,14061,PERKOTAAN,MAKANAN,612136.0,7
SUMATERA UTARA,2019,14061,PERKOTAAN,NONMAKANAN,587371.0,7
SUMATERA UTARA,2019,14061,PERKOTAAN,TOTAL,1199507.0,0
SUMATERA UTARA,2019,14061,PERDESAANPERKOTAAN,MAKANAN,576322.0,7
SUMATERA UTARA,2019,14061,PERDESAANPERKOTAAN,NONMAKANAN,487640.0,7
SUMATERA UTARA,2019,14061,PERDESAANPERKOTAAN,TOTAL,1063963.0,0
SUMATERA UTARA,2020,15949,PERDESAAN,MAKANAN,544441.0,7
SUMATERA UTARA,2020,15949,PERDESAAN,NONMAKANAN,390593.0,7
SUMATERA UTARA,2020,15949,PERDESAAN,TOTAL,935035.0,0
SUMATERA UTARA,2020,15949,PERKOTAAN,MAKANAN,643456.0,7
SUMATERA UTARA,2020,15949,PERKOTAAN,NONMAKANAN,639799.0,7
SUMATERA UTARA,2020,15949,PERKOTAAN,TOTAL,1283255.0,0
SUMATERA UTARA,2020,15949,PERDESAANPERKOTAAN,MAKANAN,598244.0,7
SUMATERA UTARA,2020,15949,PERDESAANPERKOTAAN,NONMAKANAN,526007.0,7
SUMATERA UTARA,2020,15949,PERDESAANPERKOTAAN,TOTAL,1124252.0,0
SUMATERA UTARA,2021,15486,PERDESAAN,MAKANAN,579669.0,7
SUMATERA UTARA,2021,15486,PERDESAAN,NONMAKANAN,383019.0,7
SUMATERA UTARA,2021,15486,PERDESAAN,TOTAL,962689.0,0
SUMATERA UTARA,2021,15486,PERKOTAAN,MAKANAN,630458.0,7
SUMATERA UTARA,2021,15486,PERKOTAAN,NONMAKANAN,657135.0,7
SUMATERA UTARA,2021,15486,PERKOTAAN,TOTAL,1287593.0,0
SUMATERA UTARA,2021,15486,PERDESAANPERKOTAAN,MAKANAN,607811.0,7
SUMATERA UTARA,2021,15486,PERDESAANPERKOTAAN,NONMAKANAN,534905.0,7
SUMATERA UTARA,2021,15486,PERDESAANPERKOTAAN,TOTAL,1142716.0,0
SUMATERA UTARA,2022,15131,PERDESAAN,MAKANAN,631364.0,7
SUMATERA UTARA,2022,15131,PERDESAAN,NONMAKANAN,404273.0,7
SUMATERA UTARA,2022,15131,PERDESAAN,TOTAL,1035638.0,0
SUMATERA UTARA,2022,15131,PERKOTAAN,MAKANAN,689463.0,7
SUMATERA UTARA,2022,15131,PERKOTAAN,NONMAKANAN,668871.0,7
SUMATERA UTARA,2022,15131,PERKOTAAN,TOTAL,1358335.0,0
SUMATERA UTARA,2022,15131,PERDESAANPERKOTAAN,MAKANAN,663926.0,7
SUMATERA UTARA,2022,15131,PERDESAANPERKOTAAN,NONMAKANAN,552569.0,7
SUMATERA UTARA,2022,15131,PERDESAANPERKOTAAN,TOTAL,1216496.0,0
SUMATERA BARAT,2015,11241,PERDESAAN,MAKANAN,447944.0,1
SUMATERA BARAT,2015,11241,PERDESAAN,NONMAKANAN,319143.0,1
SUMATERA BARAT,2015,11241,PERDESAAN,TOTAL,767087.0,9
SUMATERA BARAT,2015,11241,PERKOTAAN,MAKANAN,509609.0,1
SUMATERA BARAT,2015,11241,PERKOTAAN,NONMAKANAN,578890.0,1
SUMATERA BARAT,2015,11241,PERKOTAAN,TOTAL,1088499.0,9
SUMATERA BARAT,2015,11241,PERDESAANPERKOTAAN,MAKANAN,472428.0,1
SUMATERA BARAT,2015,11241,PERDESAANPERKOTAAN,NONMAKANAN,422275.0,1
SUMATERA BARAT,2015,11241,PERDESAANPERKOTAAN,TOTAL,894703.0,9
SUMATERA BARAT,2016,13206,PERDESAAN,MAKANAN,505042.0,1
SUMATERA BARAT,2016,13206,PERDESAAN,NONMAKANAN,334953.0,1
SUMATERA BARAT,2016,13206,PERDESAAN,TOTAL,839995.0,9
SUMATERA BARAT,2016,13206,PERKOTAAN,MAKANAN,583696.0,1
SUMATERA BARAT,2016,13206,PERKOTAAN,NONMAKANAN,610624.0,1
SUMATERA BARAT,2016,13206,PERKOTAAN,TOTAL,1194320.0,0
SUMATERA BARAT,2016,13206,PERDESAANPERKOTAAN,MAKANAN,537236.0,1
SUMATERA BARAT,2016,13206,PERDESAANPERKOTAAN,NONMAKANAN,447789.0,1
SUMATERA BARAT,2016,13206,PERDESAANPERKOTAAN,TOTAL,985025.0,9
SUMATERA BARAT,2017,14378,PERDESAAN,MAKANAN,544680.0,7
SUMATERA BARAT,2017,14378,PERDESAAN,NONMAKANAN,359478.0,7
SUMATERA BARAT,2017,14378,PERDESAAN,TOTAL,904159.0,9
SUMATERA BARAT,2017,14378,PERKOTAAN,MAKANAN,639600.0,7
SUMATERA BARAT,2017,14378,PERKOTAAN,NONMAKANAN,625397.0,7
SUMATERA BARAT,2017,14378,PERKOTAAN,TOTAL,1264997.0,0
SUMATERA BARAT,2017,14378,PERDESAANPERKOTAAN,MAKANAN,584045.0,7
SUMATERA BARAT,2017,14378,PERDESAANPERKOTAAN,NONMAKANAN,469758.0,7
SUMATERA BARAT,2017,14378,PERDESAANPERKOTAAN,TOTAL,1053803.0,0
SUMATERA BARAT,2018,14431,PERDESAAN,MAKANAN,558783.0,7
SUMATERA BARAT,2018,14431,PERDESAAN,NONMAKANAN,416100.0,7
SUMATERA BARAT,2018,14431,PERDESAAN,TOTAL,974885.0,0
SUMATERA BARAT,2018,14431,PERKOTAAN,MAKANAN,663365.0,7
SUMATERA BARAT,2018,14431,PERKOTAAN,NONMAKANAN,705784.0,9
SUMATERA BARAT,2018,14431,PERKOTAAN,TOTAL,1369150.0,0
SUMATERA BARAT,2018,14431,PERDESAANPERKOTAAN,MAKANAN,604871.0,7
SUMATERA BARAT,2018,14431,PERDESAANPERKOTAAN,NONMAKANAN,543759.0,7
SUMATERA BARAT,2018,14431,PERDESAANPERKOTAAN,TOTAL,1148630.0,0
SUMATERA BARAT,2019,15210,PERDESAAN,MAKANAN,561206.0,7
SUMATERA BARAT,2019,15210,PERDESAAN,NONMAKANAN,419508.0,7
SUMATERA BARAT,2019,15210,PERDESAAN,TOTAL,980714.0,0
SUMATERA BARAT,2019,15210,PERKOTAAN,MAKANAN,663548.0,7
SUMATERA BARAT,2019,15210,PERKOTAAN,NONMAKANAN,709405.0,7
SUMATERA BARAT,2019,15210,PERKOTAAN,TOTAL,1372954.0,0
SUMATERA BARAT,2019,15210,PERDESAANPERKOTAAN,MAKANAN,609257.0,7
SUMATERA BARAT,2019,15210,PERDESAANPERKOTAAN,NONMAKANAN,555620.0,7
SUMATERA BARAT,2019,15210,PERDESAANPERKOTAAN,TOTAL,1164878.0,0
SUMATERA BARAT,2020,17571,PERDESAAN,MAKANAN,597149.0,4
SUMATERA BARAT,2020,17571,PERDESAAN,NONMAKANAN,445718.0,7
SUMATERA BARAT,2020,17571,PERDESAAN,TOTAL,1042868.0,0
SUMATERA BARAT,2020,17571,PERKOTAAN,MAKANAN,698667.0,4
SUMATERA BARAT,2020,17571,PERKOTAAN,NONMAKANAN,753188.0,4
SUMATERA BARAT,2020,17571,PERKOTAAN,TOTAL,1451855.0,5
SUMATERA BARAT,2020,17571,PERDESAANPERKOTAAN,MAKANAN,644852.0,4
SUMATERA BARAT,2020,17571,PERDESAANPERKOTAAN,NONMAKANAN,590197.0,4
SUMATERA BARAT,2020,17571,PERDESAANPERKOTAAN,TOTAL,1235050.0,0
SUMATERA BARAT,2021,16630,PERDESAAN,MAKANAN,619721.0,4
SUMATERA BARAT,2021,16630,PERDESAAN,NONMAKANAN,468281.0,7
SUMATERA BARAT,2021,16630,PERDESAAN,TOTAL,1088003.0,0
SUMATERA BARAT,2021,16630,PERKOTAAN,MAKANAN,718095.0,4
SUMATERA BARAT,2021,16630,PERKOTAAN,NONMAKANAN,764266.0,4
SUMATERA BARAT,2021,16630,PERKOTAAN,TOTAL,1482361.0,5
SUMATERA BARAT,2021,16630,PERDESAANPERKOTAAN,MAKANAN,668029.0,4
SUMATERA BARAT,2021,16630,PERDESAANPERKOTAAN,NONMAKANAN,613628.0,7
SUMATERA BARAT,2021,16630,PERDESAANPERKOTAAN,TOTAL,1281658.0,0
SUMATERA BARAT,2022,15887,PERDESAAN,MAKANAN,677060.0,4
SUMATERA BARAT,2022,15887,PERDESAAN,NONMAKANAN,477638.0,7
SUMATERA BARAT,2022,15887,PERDESAAN,TOTAL,1154698.0,0
SUMATERA BARAT,2022,15887,PERKOTAAN,MAKANAN,756882.0,4
SUMATERA BARAT,2022,15887,PERKOTAAN,NONMAKANAN,781204.0,4
SUMATERA BARAT,2022,15887,PERKOTAAN,TOTAL,1538087.0,5
SUMATERA BARAT,2022,15887,PERDESAANPERKOTAAN,MAKANAN,716261.0,4
SUMATERA BARAT,2022,15887,PERDESAANPERKOTAAN,NONMAKANAN,626723.0,7
SUMATERA BARAT,2022,15887,PERDESAANPERKOTAAN,TOTAL,1342985.0,0
RIAU,2015,13303,PERDESAAN,MAKANAN,472756.0,1
RIAU,2015,13303,PERDESAAN,NONMAKANAN,413929.0,1
RIAU,2015,13303,PERDESAAN,TOTAL,886685.0,9
RIAU,2015,13303,PERKOTAAN,MAKANAN,530836.0,1
RIAU,2015,13303,PERKOTAAN,NONMAKANAN,661673.0,9
RIAU,2015,13303,PERKOTAAN,TOTAL,1192509.0,0
RIAU,2015,13303,PERDESAANPERKOTAAN,MAKANAN,495322.0,1
RIAU,2015,13303,PERDESAANPERKOTAAN,NONMAKANAN,510187.0,1
RIAU,2015,13303,PERDESAANPERKOTAAN,TOTAL,1005509.0,9
RIAU,2016,15506,PERDESAAN,MAKANAN,529182.0,7
RIAU,2016,15506,PERDESAAN,NONMAKANAN,415428.0,7
RIAU,2016,15506,PERDESAAN,TOTAL,944611.0,0
RIAU,2016,15506,PERKOTAAN,MAKANAN,599303.0,7
RIAU,2016,15506,PERKOTAAN,NONMAKANAN,701840.0,4
RIAU,2016,15506,PERKOTAAN,TOTAL,1301143.0,0
RIAU,2016,15506,PERDESAANPERKOTAAN,MAKANAN,556747.0,7
RIAU,2016,15506,PERDESAANPERKOTAAN,NONMAKANAN,528018.0,7
RIAU,2016,15506,PERDESAANPERKOTAAN,TOTAL,1084765.0,0
RIAU,2017,15182,PERDESAAN,MAKANAN,577172.0,7
RIAU,2017,15182,PERDESAAN,NONMAKANAN,422216.0,7
RIAU,2017,15182,PERDESAAN,TOTAL,999389.0,0
RIAU,2017,15182,PERKOTAAN,MAKANAN,643136.0,7
RIAU,2017,15182,PERKOTAAN,NONMAKANAN,661941.0,7
RIAU,2017,15182,PERKOTAAN,TOTAL,1305078.0,0
RIAU,2017,15182,PERDESAANPERKOTAAN,MAKANAN,603401.0,7
RIAU,2017,15182,PERDESAANPERKOTAAN,NONMAKANAN,517536.0,7
RIAU,2017,15182,PERDESAANPERKOTAAN,TOTAL,1120937.0,0
RIAU,2018,15613,PERDESAAN,MAKANAN,569382.0,7
RIAU,2018,15613,PERDESAAN,NONMAKANAN,482077.0,7
RIAU,2018,15613,PERDESAAN,TOTAL,1051459.0,0
RIAU,2018,15613,PERKOTAAN,MAKANAN,644937.0,7
RIAU,2018,15613,PERKOTAAN,NONMAKANAN,744298.0,4
RIAU,2018,15613,PERKOTAAN,TOTAL,1389236.0,5
RIAU,2018,15613,PERDESAANPERKOTAAN,MAKANAN,599873.0,7
RIAU,2018,15613,PERDESAANPERKOTAAN,NONMAKANAN,587899.0,7
RIAU,2018,15613,PERDESAANPERKOTAAN,TOTAL,1187772.0,0
RIAU,2019,16270,PERDESAAN,MAKANAN,581820.0,7
RIAU,2019,16270,PERDESAAN,NONMAKANAN,483155.0,7
RIAU,2019,16270,PERDESAAN,TOTAL,1064975.0,0
RIAU,2019,16270,PERKOTAAN,MAKANAN,680685.0,4
RIAU,2019,16270,PERKOTAAN,NONMAKANAN,800946.0,4
RIAU,2019,16270,PERKOTAAN,TOTAL,1481632.0,5
RIAU,2019,16270,PERDESAANPERKOTAAN,MAKANAN,621747.0,7
RIAU,2019,16270,PERDESAANPERKOTAAN,NONMAKANAN,611497.0,7
RIAU,2019,16270,PERDESAANPERKOTAAN,TOTAL,1233245.0,0
RIAU,2020,18411,PERDESAAN,MAKANAN,616148.0,4
RIAU,2020,18411,PERDESAAN,NONMAKANAN,511937.0,4
RIAU,2020,18411,PERDESAAN,TOTAL,1128085.0,0
RIAU,2020,18411,PERKOTAAN,MAKANAN,744846.0,4
RIAU,2020,18411,PERKOTAAN,NONMAKANAN,909577.0,4
RIAU,2020,18411,PERKOTAAN,TOTAL,1654423.0,5
RIAU,2020,18411,PERDESAANPERKOTAAN,MAKANAN,668073.0,4
RIAU,2020,18411,PERDESAANPERKOTAAN,NONMAKANAN,672372.0,4
RIAU,2020,18411,PERDESAANPERKOTAAN,TOTAL,1340446.0,5
RIAU,2021,19144,PERDESAAN,MAKANAN,643925.0,4
RIAU,2021,19144,PERDESAAN,NONMAKANAN,538482.0,4
RIAU,2021,19144,PERDESAAN,TOTAL,1182408.0,5
RIAU,2021,19144,PERKOTAAN,MAKANAN,714406.0,4
RIAU,2021,19144,PERKOTAAN,NONMAKANAN,868308.0,4
RIAU,2021,19144,PERKOTAAN,TOTAL,1582714.0,5
RIAU,2021,19144,PERDESAANPERKOTAAN,MAKANAN,672142.0,4
RIAU,2021,19144,PERDESAANPERKOTAAN,NONMAKANAN,670527.0,4
RIAU,2021,19144,PERDESAANPERKOTAAN,TOTAL,1342670.0,5
RIAU,2022,18626,PERDESAAN,MAKANAN,687965.0,4
RIAU,2022,18626,PERDESAAN,NONMAKANAN,564974.0,4
RIAU,2022,18626,PERDESAAN,TOTAL,1252939.0,5
RIAU,2022,18626,PERKOTAAN,MAKANAN,794813.0,4
RIAU,2022,18626,PERKOTAAN,NONMAKANAN,887487.0,4
RIAU,2022,18626,PERKOTAAN,TOTAL,1682300.0,5
RIAU,2022,18626,PERDESAANPERKOTAAN,MAKANAN,730825.0,4
RIAU,2022,18626,PERDESAANPERKOTAAN,NONMAKANAN,694345.0,4
RIAU,2022,18626,PERDESAANPERKOTAAN,TOTAL,1425170.0,5
JAMBI,2015,12954,PERDESAAN,MAKANAN,412871.0,1
JAMBI,2015,12954,PERDESAAN,NONMAKANAN,349329.0,1
JAMBI,2015,12954,PERDESAAN,TOTAL,762199.0,9
JAMBI,2015,12954,PERKOTAAN,MAKANAN,464204.0,1
JAMBI,2015,12954,PERKOTAAN,NONMAKANAN,556527.0,1
JAMBI,2015,12954,PERKOTAAN,TOTAL,1020732.0,9
JAMBI,2015,12954,PERDESAANPERKOTAAN,MAKANAN,428457.0,1
JAMBI,2015,12954,PERDESAANPERKOTAAN,NONMAKANAN,412239.0,1
JAMBI,2015,12954,PERDESAANPERKOTAAN,TOTAL,840696.0,9
JAMBI,2016,13169,PERDESAAN,MAKANAN,437980.0,1
JAMBI,2016,13169,PERDESAAN,NONMAKANAN,357591.0,1
JAMBI,2016,13169,PERDESAAN,TOTAL,795572.0,9
JAMBI,2016,13169,PERKOTAAN,MAKANAN,523615.0,1
JAMBI,2016,13169,PERKOTAAN,NONMAKANAN,624606.0,1
JAMBI,2016,13169,PERKOTAAN,TOTAL,1148221.0,0
JAMBI,2016,13169,PERDESAANPERKOTAAN,MAKANAN,464381.0,1
JAMBI,2016,13169,PERDESAANPERKOTAAN,NONMAKANAN,439908.0,1
JAMBI,2016,13169,PERDESAANPERKOTAAN,TOTAL,904289.0,9
JAMBI,2017,14326,PERDESAAN,MAKANAN,504542.0,7
JAMBI,2017,14326,PERDESAAN,NONMAKANAN,334210.0,1
JAMBI,2017,14326,PERDESAAN,TOTAL,838753.0,9
JAMBI,2017,14326,PERKOTAAN,MAKANAN,611922.0,7
JAMBI,2017,14326,PERKOTAAN,NONMAKANAN,641117.0,7
JAMBI,2017,14326,PERKOTAAN,TOTAL,1253039.0,0
JAMBI,2017,14326,PERDESAANPERKOTAAN,MAKANAN,538359.0,7
JAMBI,2017,14326,PERDESAANPERKOTAAN,NONMAKANAN,430864.0,7
JAMBI,2017,14326,PERDESAANPERKOTAAN,TOTAL,969224.0,0
JAMBI,2018,14007,PERDESAAN,MAKANAN,523147.0,7
JAMBI,2018,14007,PERDESAAN,NONMAKANAN,424329.0,1
JAMBI,2018,14007,PERDESAAN,TOTAL,947478.0,9
JAMBI,2018,14007,PERKOTAAN,MAKANAN,625663.0,7
JAMBI,2018,14007,PERKOTAAN,NONMAKANAN,649402.0,7
JAMBI,2018,14007,PERKOTAAN,TOTAL,1275066.0,0
JAMBI,2018,14007,PERDESAANPERKOTAAN,MAKANAN,555989.0,7
JAMBI,2018,14007,PERDESAANPERKOTAAN,NONMAKANAN,496432.0,7
JAMBI,2018,14007,PERDESAANPERKOTAAN,TOTAL,1052421.0,0
JAMBI,2019,14304,PERDESAAN,MAKANAN,525933.0,7
JAMBI,2019,14304,PERDESAAN,NONMAKANAN,423707.0,7
JAMBI,2019,14304,PERDESAAN,TOTAL,949641.0,9
JAMBI,2019,14304,PERKOTAAN,MAKANAN,632452.0,7
JAMBI,2019,14304,PERKOTAAN,NONMAKANAN,684518.0,9
JAMBI,2019,14304,PERKOTAAN,TOTAL,1316970.0,0
JAMBI,2019,14304,PERDESAANPERKOTAAN,MAKANAN,560541.0,7
JAMBI,2019,14304,PERDESAANPERKOTAAN,NONMAKANAN,508445.0,7
JAMBI,2019,14304,PERDESAANPERKOTAAN,TOTAL,1068986.0,0
JAMBI,2020,15840,PERDESAAN,MAKANAN,565807.0,7
JAMBI,2020,15840,PERDESAAN,NONMAKANAN,441837.0,7
JAMBI,2020,15840,PERDESAAN,TOTAL,1007645.0,0
JAMBI,2020,15840,PERKOTAAN,MAKANAN,640957.0,7
JAMBI,2020,15840,PERKOTAAN,NONMAKANAN,733847.0,4
JAMBI,2020,15840,PERKOTAAN,TOTAL,1374805.0,5
JAMBI,2020,15840,PERDESAANPERKOTAAN,MAKANAN,590173.0,7
JAMBI,2020,15840,PERDESAANPERKOTAAN,NONMAKANAN,536516.0,7
JAMBI,2020,15840,PERDESAANPERKOTAAN,TOTAL,1126689.0,0
JAMBI,2021,16043,PERDESAAN,MAKANAN,584662.0,7
JAMBI,2021,16043,PERDESAAN,NONMAKANAN,475304.0,7
JAMBI,2021,16043,PERDESAAN,TOTAL,1059967.0,0
JAMBI,2021,16043,PERKOTAAN,MAKANAN,673352.0,4
JAMBI,2021,16043,PERKOTAAN,NONMAKANAN,753362.0,4
JAMBI,2021,16043,PERKOTAAN,TOTAL,1426715.0,5
JAMBI,2021,16043,PERDESAANPERKOTAAN,MAKANAN,613752.0,7
JAMBI,2021,16043,PERDESAANPERKOTAAN,NONMAKANAN,566506.0,7
JAMBI,2021,16043,PERDESAANPERKOTAAN,TOTAL,1180259.0,0
JAMBI,2022,16042,PERDESAAN,MAKANAN,639512.0,7
JAMBI,2022,16042,PERDESAAN,NONMAKANAN,501511.0,7
JAMBI,2022,16042,PERDESAAN,TOTAL,1141024.0,0
JAMBI,2022,16042,PERKOTAAN,MAKANAN,710704.0,4
JAMBI,2022,16042,PERKOTAAN,NONMAKANAN,796193.0,4
JAMBI,2022,16042,PERKOTAAN,TOTAL,1506898.0,5
JAMBI,2022,16042,PERDESAANPERKOTAAN,MAKANAN,663020.0,4
JAMBI,2022,16042,PERDESAANPERKOTAAN,NONMAKANAN,598816.0,7
